CAA01909			UPI000002D724	COMPARE		Converted to UniProt ID but is from UniParc	POLC7_CYNDA	95.8
CAA01910			UPI000002D725	COMPARE		Converted to UniProt ID but is from UniParc	POLC7_CYNDA	95.9
CAD20406			UPI000004669E	COMPARE		Converted to UniProt ID but is from UniParc	Q9SC98_LOLPR	95.5
CAD38361			UPI000004C0A4	COMPARE		Converted to UniProt ID but is from UniParc	PEPT1_DERPT	96.8
CAD38362			UPI000004C0A5	COMPARE		Converted to UniProt ID but is from UniParc	PEPT1_DERPT	96.8
CAD38363			UPI000004C0A6	COMPARE		Converted to UniProt ID but is from UniParc	PEPT1_DERPT	96.8
CAD38364			UPI000004C0A7	COMPARE		Converted to UniProt ID but is from UniParc	PEPT1_DERPT	96.8
CAD38365			UPI000004C0A8	COMPARE		Converted to UniProt ID but is from UniParc	PEPT1_DERPT	96.8
CAD38366			UPI000004C0A9	COMPARE		Converted to UniProt ID but is from UniParc	PEPT1_DERPT	96.8
CAD38367			UPI000004C0AA	COMPARE		Converted to UniProt ID but is from UniParc	PEPT1_DERPT	96.8
CAD38368			UPI000004C0AB	COMPARE		Converted to UniProt ID but is from UniParc	PEPT1_DERPT	95.5
CAD38369			UPI000004C0AC	COMPARE		Converted to UniProt ID but is from UniParc	PEPT1_DERPT	95.5
CAD38370			UPI000004C0AD	COMPARE		Converted to UniProt ID but is from UniParc	PEPT1_DERPT	95.0
CAD38371			UPI000004C0AE	COMPARE		Converted to UniProt ID but is from UniParc	PEPT1_DERPT	95.0
CAD38372			UPI000004C0AF	COMPARE		Converted to UniProt ID but is from UniParc	I2CMD4_DERPT	93.8
CAD38373			UPI000004C0B0	COMPARE		Converted to UniProt ID but is from UniParc	I2CMD4_DERPT	93.8
CAD38374			UPI000004C0B1	COMPARE		Converted to UniProt ID but is from UniParc	I2CMD4_DERPT	93.8
CAD38375			UPI000004C0B2	COMPARE		Converted to UniProt ID but is from UniParc	I2CMD4_DERPT	93.8
CAD38376			UPI000004C0B3	COMPARE		Converted to UniProt ID but is from UniParc	I2CMD4_DERPT	93.8
CAD38377			UPI000004C0B4	COMPARE		Converted to UniProt ID but is from UniParc	I2CMD4_DERPT	93.8
CAD38378			UPI000004C0B5	COMPARE		Converted to UniProt ID but is from UniParc	I2CMD4_DERPT	93.8
CAD38379			UPI000004C0B6	COMPARE		Converted to UniProt ID but is from UniParc	I2CMD4_DERPT	93.8
CAD38381			UPI000004C0B7	COMPARE		Converted to UniProt ID but is from UniParc	I2CMD4_DERPT	93.8
CAD38382			UPI000004C0B8	COMPARE		Converted to UniProt ID but is from UniParc	I2CMD4_DERPT	93.8
CAD38383			UPI000004C0B9	COMPARE		Converted to UniProt ID but is from UniParc	I2CMD4_DERPT	93.8
CAD38384			UPI000004C0BA	COMPARE		Converted to UniProt ID but is from UniParc	O81341_PHLPR	97.9
CAD38385			UPI000004C0BB	COMPARE		Converted to UniProt ID but is from UniParc	O81341_PHLPR	97.9
CAD38386			UPI000004C0BC	COMPARE		Converted to UniProt ID but is from UniParc	O81341_PHLPR	97.9
CAD38387			UPI000004C0BD	COMPARE		Converted to UniProt ID but is from UniParc	O81341_PHLPR	97.9
CAD38388			UPI000004C0BE	COMPARE		Converted to UniProt ID but is from UniParc	O81341_PHLPR	97.9
CAD38389			UPI000004C0BF	COMPARE		Converted to UniProt ID but is from UniParc	O81341_PHLPR	97.9
CAD38390			UPI000004C0C0	COMPARE		Converted to UniProt ID but is from UniParc	O81341_PHLPR	97.9
CAD38391			UPI000004C0C1	COMPARE		Converted to UniProt ID but is from UniParc	O81341_PHLPR	97.9
CAD38392			UPI000004C0C2	COMPARE		Converted to UniProt ID but is from UniParc	O81341_PHLPR	97.9
CAD38393			UPI000004C0C3	COMPARE		Converted to UniProt ID but is from UniParc	O81341_PHLPR	97.9
CAD38394			UPI000004C0C4	COMPARE		Converted to UniProt ID but is from UniParc	O81341_PHLPR	97.9
CAD38395			UPI000004C0C5	COMPARE		Converted to UniProt ID but is from UniParc	O81341_PHLPR	97.9
CAD38396			UPI000004C0C6	COMPARE		Converted to UniProt ID but is from UniParc	O81341_PHLPR	97.9
CAD38397			UPI000004C0C7	COMPARE		Converted to UniProt ID but is from UniParc	O81341_PHLPR	97.9
CAD80019			UPI000005E8B4	COMPARE		Converted to UniProt ID but is from UniParc	PLAL1_PLALA	61.5
CAD82911			UPI000005E8D4	COMPARE		Converted to UniProt ID but is from UniParc	ALL2_CANLF	97.2
MANUAL2				COMPARE		No DB ID found	CYSP_BLOTA	97.9
COMPARE008				COMPARE		No DB ID found	OLE15_ARAHY	53.6
COMPARE002				COMPARE		No DB ID found	ALBU_CANLF	31.1
COMPARE003				COMPARE		No DB ID found	Q9Y196_EURMA	31.7
COMPARE004				COMPARE		No DB ID found	QPB41107	44.4
COMPARE005				COMPARE		No DB ID found	ALL3_AEDAE	40.0
COMPARE014				COMPARE		No DB ID found	MSP_MESAU	84.6
COMPARE012				COMPARE		No DB ID found	C0L3K2_ASCLU	94.0
COMPARE059				COMPARE		No DB ID found	ALL7_OLEEU	81.0
COMPARE138				COMPARE		No DB ID found	No hit	0
COMPARE103				COMPARE		No DB ID found	B6RQR7_CARBE	86.0
